Trial,Bandit,Reward,CumulativeReward,CumulativeRegret,Algorithm
6168,3,4.162804031341681,24090.751537419776,574,EpsilonGreedy
6169,3,4.114296374135036,24094.865833793912,574,EpsilonGreedy
6170,3,3.829316283625275,24098.695150077536,574,EpsilonGreedy
6171,3,4.391887582424074,24103.08703765996,574,EpsilonGreedy
6172,3,4.043248738648992,24107.13028639861,574,EpsilonGreedy
6173,3,4.1526086430801685,24111.282895041688,574,EpsilonGreedy
6174,3,4.216207298441598,24115.49910234013,574,EpsilonGreedy
6175,3,4.270515019160504,24119.769617359292,574,EpsilonGreedy
6176,2,2.637822385768864,24122.40743974506,575,EpsilonGreedy
6177,3,4.084991459939866,24126.492431205,575,EpsilonGreedy
6178,3,4.006756627442472,24130.49918783244,575,EpsilonGreedy
6179,3,4.183049485051638,24134.68223731749,575,EpsilonGreedy
6180,3,4.077458953074045,24138.759696270565,575,EpsilonGreedy
6181,3,4.105074983390943,24142.864771253957,575,EpsilonGreedy
6182,3,3.9020584335555832,24146.766829687513,575,EpsilonGreedy
6183,3,4.294025873969348,24151.06085556148,575,EpsilonGreedy
6184,3,3.8194820951394215,24154.88033765662,575,EpsilonGreedy
6185,3,4.16675345899864,24159.04709111562,575,EpsilonGreedy
6186,3,4.213048149773146,24163.260139265392,575,EpsilonGreedy
6187,3,3.9816192602284186,24167.241758525623,575,EpsilonGreedy
6188,3,3.621193343964389,24170.862951869585,575,EpsilonGreedy
6189,3,3.874686090390693,24174.737637959977,575,EpsilonGreedy
6190,3,3.983223890490936,24178.720861850466,575,EpsilonGreedy
6191,3,3.5454108699470503,24182.266272720415,575,EpsilonGreedy
6192,3,4.156342588217341,24186.42261530863,575,EpsilonGreedy
6193,3,3.784386469142138,24190.207001777773,575,EpsilonGreedy
6194,3,4.098686550049509,24194.305688327822,575,EpsilonGreedy
6195,3,3.8733845338221933,24198.179072861643,575,EpsilonGreedy
6196,3,3.897165338849485,24202.076238200494,575,EpsilonGreedy
6197,3,4.374645359326534,24206.45088355982,575,EpsilonGreedy
6198,3,3.906621927909018,24210.35750548773,575,EpsilonGreedy
6199,3,4.143364627908719,24214.500870115637,575,EpsilonGreedy
6200,3,4.522954237451747,24219.023824353088,575,EpsilonGreedy
