Trial,Bandit,Reward,CumulativeReward,CumulativeRegret,Algorithm
89,3,3.8871013135876846,338.99818178959447,17,ThompsonSampling
90,3,4.0686425464393094,343.0668243360338,17,ThompsonSampling
91,3,4.037304303997202,347.104128640031,17,ThompsonSampling
92,3,3.7680386207446785,350.87216726077565,17,ThompsonSampling
93,3,4.380403444660107,355.25257070543574,17,ThompsonSampling
94,3,4.205319590113009,359.45789029554874,17,ThompsonSampling
95,3,4.030239435063386,363.4881297306121,17,ThompsonSampling
96,3,3.9858247288083537,367.4739544594205,17,ThompsonSampling
97,3,3.737945894210437,371.21190035363094,17,ThompsonSampling
98,3,4.237209735137273,375.44911008876824,17,ThompsonSampling
99,3,4.059842133924534,379.50895222269276,17,ThompsonSampling
100,3,4.309255529173528,383.8182077518663,17,ThompsonSampling
